hypothesis_index,hypothesis_id,family_id,cluster_id,expected_nested_pairs,valid_nested_pairs,cluster_effect_available,cluster_effect,cluster_worst_case_bound,cluster_best_case_bound
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF13,10,10,true,0.21809291911806061,0.21809291911806061,0.21809291911806061
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF14,10,10,true,0.044972402414814323,0.044972402414814323,0.044972402414814323
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF15,10,10,true,0.18385558766254306,0.18385558766254306,0.18385558766254306
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF2,10,10,true,0.26055557262473272,0.26055557262473272,0.26055557262473272
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF3,10,10,true,0.15584128323404156,0.15584128323404156,0.15584128323404156
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF4,10,10,true,0.19896034327195328,0.19896034327195328,0.19896034327195328
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF5,10,10,true,0.032452724641284472,0.032452724641284472,0.032452724641284472
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF6,10,10,true,0.24263879842848662,0.24263879842848662,0.24263879842848662
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF7,10,10,true,0.098875370633593584,0.098875370633593584,0.098875370633593584
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF8,10,10,true,0.17658339788030181,0.17658339788030181,0.17658339788030181
7,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_JDE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF9,10,0,false,,-1,1
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF1,10,10,true,0.2096990844557105,0.2096990844557105,0.2096990844557105
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF10,10,10,true,0.30055690015180447,0.30055690015180447,0.30055690015180447
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF11,10,10,true,0.20514492787088867,0.20514492787088867,0.20514492787088867
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF12,10,10,true,0.20441902653755867,0.20441902653755867,0.20441902653755867
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF13,10,10,true,0.23474420726111223,0.23474420726111223,0.23474420726111223
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF14,10,10,true,0.059241001251516934,0.059241001251516934,0.059241001251516934
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF15,10,10,true,0.20099493157075921,0.20099493157075921,0.20099493157075921
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF2,10,10,true,0.29568786338492498,0.29568786338492498,0.29568786338492498
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF3,10,10,true,0.16575666859569246,0.16575666859569246,0.16575666859569246
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF4,10,10,true,0.21482878395308194,0.21482878395308194,0.21482878395308194
8,E1_DYNAMIC__DT-RAMDE_TS2_FULL__VS__MATCHED_SHADE_STYLE_PARETO__ANYTIME_NHV_AUC,E1_PRIMARY_ANYTIME,CDF5,10,10,true,0.038074029335320572,0.038074029335320572,0.038074029335320572
