task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,outcome_class,terminal_failure_event_count,terminal_code_counts_json,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,charged_work_exact,event_summary_trailing_fragment_present,event_summary_trailing_fragment_bytes,event_summary_trailing_fragment_sha256,wall_seconds,cpu_seconds,peak_rss_bytes,output_bytes,automatic_retries
r8c-0057-d7f139c65cc51a75,57,E1_STATIC,LIRCMOP1,MATCHED_SHADE_STYLE_PARETO,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.146067608999147,5.938818097,85647360,42571,0
r8c-0058-c233bed2ce56f797,58,E1_STATIC,LIRCMOP1,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.288241665999522,12.452128198,109457408,42896,0
r8c-0059-d4c25ea36d4237cf,59,E1_STATIC,LIRCMOP1,JMETALPY_1_7_NSGAII_STATIC_CMOEA,9,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.345473449000565,13.063631864000001,109232128,42985,0
r8c-0060-5f3a8612b4321503,60,E1_STATIC,LIRCMOP2,F22_MG_STATIC,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.229504502000054,10.355415785999998,98258944,42179,0
r8c-0061-daafe7a8c90828f1,61,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.076702803999069,5.32668873,84324352,42565,0
r8c-0062-8270c0ce56a35179,62,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.142218566001247,5.442585858,84672512,42565,0
r8c-0063-6ccc7e38b536fc29,63,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.142155426001409,6.05827644,85696512,42570,0
r8c-0064-2cb186732520cee1,64,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.429640872000164,12.378736539999998,109752320,42902,0
r8c-0065-ecab925ba6b60e5a,65,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,0,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.462582737000048,13.054454963,109252608,42979,0
r8c-0066-595349937ce7d7eb,66,E1_STATIC,LIRCMOP2,F22_MG_STATIC,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.357587731999956,10.484256095,98439168,42174,0
r8c-0067-29f1f48f05f9cd82,67,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.196958532000281,5.308810787,85131264,42566,0
r8c-0068-530b866e315e49de,68,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.194848492999881,5.411905207,85131264,42566,0
r8c-0069-2a2955a2d23f95e4,69,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.248973524001485,5.961497625,86376448,42573,0
r8c-0070-08131eab5bf90513,70,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.412495011001738,12.437278586,109461504,42897,0
r8c-0071-b3b37a816eb17035,71,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,1,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.445450756000355,12.894823029000001,110305280,42986,0
r8c-0072-c1b0864007e13395,72,E1_STATIC,LIRCMOP2,F22_MG_STATIC,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.34046172199669,10.264904754,98811904,42173,0
r8c-0073-ba030363a028aa53,73,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.180560142998729,5.265791902,85331968,42565,0
